    reading     vocab         inference   comprehension
    7.439028    39.508134     6.689303    18.629777
    4.467073    26.356942     1.949539    11.579880
    3.001706    18.040465     5.196566     9.072348
    7.550363    39.959173     6.941626    19.466637
    2.942636    22.059287     0.600462     7.792662
    9.627415    30.121858     9.355596    22.333611
    5.633688    35.917066     2.004988    12.914206
    5.048231    27.538449     3.842990    15.293829
    7.595073    39.737638     4.784189    17.261032
   10.057580    46.877463     7.453962    19.451480
    4.917570    40.488424     4.826894    17.296400
    5.174708    27.943312     5.570822    11.514903
    6.394073    34.519976     5.456747    16.492053
    7.434853    34.606441     4.975096    18.552058
    6.506604    42.467627     7.456569    22.405359
    5.444450    20.726996     3.014683    12.685991
    6.550170    34.789497     6.477872    22.867448
    8.040354    30.438699     7.835637    13.561857
    5.413320    38.843005     7.634740    20.701815
    3.840712    34.529591     4.543871    14.301097
    7.917677    39.039379     9.136946    19.537571
    2.498218    22.500675     3.687215    15.728341
    6.657852    32.871132     4.849994    15.823088
    6.363369    24.005142     7.287392    15.182251
    4.028349    30.388589     0.468126    10.855743
    2.820016    25.310599     0.723739    14.335562
    4.873889    28.577494     0.732994    15.341241
    7.784461    34.200491     5.542328    18.901415
    9.109496    37.587220     3.949897    22.488694
    6.721047    27.763692     2.640730    16.133881
    4.035047    18.967299     2.329654    10.232223
    6.268074    21.906185     6.721951    16.433046
    6.070413    31.086868     2.205126    12.982326
    7.751592    50.508830     6.622796    21.865709
    6.752143    35.048191     7.035291    15.414408
    3.897270    24.367468     2.477471    10.943960
    3.476628    19.057701     1.950085    14.520128
    8.131109    53.155145     7.200677    16.853409
    6.398309    50.812276     3.586189    19.138826
    7.457726    37.447215     5.786857    20.873006
    9.144074    57.286525     8.074375    21.416663
    8.208760    40.923593     9.876472    21.937740
    4.337964    42.203065     3.711462    17.627007
    9.728901    33.325047     7.049831    24.348321
    7.820123    32.912530     6.360529    13.570797
    6.395672    45.034167     6.864099    15.661064
    9.659948    33.993629    10.030394    20.356920
    5.126029    42.849697     4.606278    16.990328
    7.744036    39.899902     4.201435    10.916028
    4.991869    32.519115     8.796417    17.067160
    7.612432    35.673543     8.169791    18.675641
    6.244758    29.553002     5.131031    16.189997
    9.462906    32.361839     6.929355    16.126178
    6.305849    29.597620     6.207065    15.494901
    2.314983    30.784363     4.034186    14.461427
   11.320590    51.923876     7.512354    21.689133
    5.886343    39.023837     6.290841    19.284479
    6.056839    54.200384     5.757444    25.048686
    4.209556    35.494996     3.901710    11.346798
    6.363553    28.798168     3.666003    13.324650
    9.681782    43.532913     6.546436    19.922291
    5.493844    37.086659     3.945172    22.179271
    1.603175    26.784280     1.793462    16.278738
    6.341969    20.711828     3.745389    14.939598
